Feature,Importance
numImplicitDependentData_delta,0.0
numImplicitDependentModules_delta,-0.0002644103648863038
textEntropyMeasure,-0.01824431517715492
rexp,-0.014278159703860378
additions_contains_versioning_change,0.0
isModule,0.0007932310946589115
nloc_delta,0.0
numHereDocs_delta,0.0
deletions_contains_value_output_change,0.0
numTemplateExpression_delta,0.0018508725542041268
numImplicitDependentResources_delta,0.0002644103648863038
numTuples_delta,0.0
kexp,-0.014806980433632976
num_unique_change,0.005023796932839773
numSplatExpressions_delta,0.0
numComparisonOperators_delta,-0.0002644103648863038
additions_contains_value_output_change,-0.0013220518244315192
deletions_contains_type_change,0.014806980433633014
numElemObjects_delta,0.0010576414595452153
additions_diffusion,-0.0021152829190904127
numDynamicBlocks_delta,0.0
numFunctionCall_delta,0.0023796932839767345
numDeprecatedFunctions,0.0037017451084082535
numExplicitResourceDependency_delta,0.0
numTemplateExpression,0.002908514013749342
additions_normalized,0.0013220518244315192
deletions_contains_default_change,-0.0005288207297726076
isData,0.0023796932839767345
numMathOperations_delta,0.0
code_ownership,0.0
numLogiOpers_delta,0.0
additions_contains_type_change,-0.007932310946589086
time_interval,-0.00370174510840825
numImplicitDependentProviders_delta,0.0
deletions_contains_versioning_change,0.0
deletions_lines_normalized,-0.009254362771020635
numIndexAccess_delta,0.0
numMetaArg_delta,0.0026441036488630385
numImplicitDependentLocals_delta,0.0023796932839767345
numConditions_delta,0.002908514013749342
numLoops_delta,0.0
numDynamicBlocks,0.0
numImplicitDependentModules,0.005288207297726077
numImplicitDependentData,-0.004494976203067165
exp,-0.014278159703860354
isOutput,0.0002644103648863038
isLocals,-0.010840824960338447
numImplicitDependentVars_delta,-0.004494976203067165
numStarString,0.0
numImplicitDependentResources,-0.0018508725542041268
